Ветка,Номер вопроса,Выбор пользователя,Вводная,Вариант вопроса,Подтверждение выбора,Следующий вопрос,Совет,Финал,Эмодзи
1,4,16,"Формат — твой главный рычаг в мире информации. От выбора Telegram до подкаста — всё влияет на твой уровень погружения. Сейчас мы узнаем, какой тебе ближе.",Еще не выбрал,Ещё не выбрал — не проблема. Сейчас я помогу тебе разобраться.,5,"*Индивидуальный подход* Ты ещё не определился — это нормально. Попробуй разные форматы и посмотри, какой тебе подходит больше всего.",Нет,🤔
1,5,17,"Как часто ты обращаешься к информации? Регулярность — ключ к успеху. Кто-то делает это каждый день, кто-то раз в неделю, а кто-то ждёт вдохновения. Твой график наблюдений определит, насколько активным будет твой подход к обучению и развитию.",Каждый день,"Активное потребление — это работа. Сейчас я подскажу, как организовать процесс.",6,"*Ежедневный потребитель* Ты каждый день обращаешься к информации. Это требует дисциплины, но приносит результат.",Нет,📅
1,5,18,"Как часто ты обращаешься к информации? Регулярность — ключ к успеху. Кто-то делает это каждый день, кто-то раз в неделю, а кто-то ждёт вдохновения. Твой график наблюдений определит, насколько активным будет твой подход к обучению и развитию.",Несколько раз в неделю,"Хорошо, ты активен, но не слишком. Такой стиль часто приносит хорошие результаты.",6,"*Часто потребляет информацию* Ты регулярно возвращаешься к новостям, но не выгораешь. Это разумный баланс между жизнью и информацией.",Нет,📆
1,5,19,"Как часто ты обращаешься к информации? Регулярность — ключ к успеху. Кто-то делает это каждый день, кто-то раз в неделю, а кто-то ждёт вдохновения. Твой график наблюдений определит, насколько активным будет твой подход к обучению и развитию.",Раз в неделю или реже,"Отлично, ты не гонишься за количеством, а строишь долгосрочные планы.",6,"*Пассивный потребитель* Ты не гонишься за каждой волной, а строишь долгосрочные планы. Это зрелый подход, если ты не забываешь о себе.",Нет,🗓️
1,5,20,"Как часто ты обращаешься к информации? Регулярность — ключ к успеху. Кто-то делает это каждый день, кто-то раз в неделю, а кто-то ждёт вдохновения. Твой график наблюдений определит, насколько активным будет твой подход к обучению и развитию.",Совсем не потребляю — пока не нужно,"Отлично, ты доверяешь своему времени. Сейчас я подскажу, как не ошибиться на старте.",6,"*Самостоятельный потребитель* Ты не зависишь от мнений других и принимаешь решения осознанно. Это зрелый подход, если ты не остаешься в застое.",Нет,⏳
1,6,21,"Образование — основа успешного потребления информации. Сейчас мы узнаем, доверяешь ли ты информации из Telegram, TikTok и YouTube, или предпочитаешь проверенные источники.","Да, чаще всего","Хорошо, ты доверяешь информации из соцсетей. Сейчас я объясню, как не попасть в мошенников.",7,"*Часто доверяет информации* Ты черпаешь знания из разных источников, включая Telegram и YouTube. Это может быть полезно, но требует критического мышления.",Нет,📱
1,6,22,"Образование — основа успешного потребления информации. Сейчас мы узнаем, доверяешь ли ты информации из Telegram, TikTok и YouTube, или предпочитаешь проверенные источники.","Иногда проверяю, иногда верю",Ты находишь баланс между доверием и скептицизмом. Это правильный подход.,7,*Балансирующий между доверием и скептицизмом* Ты находишь баланс между доверием и осторожностью — это правильный подход для роста.,Нет,🤷
1,6,23,"Образование — основа успешного потребления информации. Сейчас мы узнаем, доверяешь ли ты информации из Telegram, TikTok и YouTube, или предпочитаешь проверенные источники.","Не доверяю, только проверенные источники","Отлично, ты предпочитаешь проверенные источники — это мудро.",7,*Доверяет проверенным источникам* Ты предпочитаешь проверенные источники и не подвержен влиянию шума. Это снижает риск ошибок.,Нет,🔒
1,6,24,"Образование — основа успешного потребления информации. Сейчас мы узнаем, доверяешь ли ты информации из Telegram, TikTok и YouTube, или предпочитаешь проверенные источники.",Не слежу за каналами,"Не слежу за каналами — это тоже вариант. Сейчас я подскажу, где получить качественную информацию.",7,*Не следит за каналами* Ты не зависишь от мнений других и получаешь информацию осознанно. Это зрелый подход.,Нет,🚫
1,7,25,"Цель — это движущая сила любого человека. Хоть ты и в мире информации, важно понимать, чего ты хочешь достичь за 6 месяцев. Это поможет тебе выбрать правильную стратегию и не сбиться с курса.","Понять, что мне нравится","Хорошо, ты хочешь разобраться, что тебе нравится. Сейчас я помогу тебе составить список.",8,"*Учащийся* Ты хочешь понять, что тебе нравится. Изучи разные темы, экспериментируй с форматами и записывай, что тебя цепляет.",Нет,🧠
1,7,26,"Цель — это движущая сила любого человека. Хоть ты и в мире информации, важно понимать, чего ты хочешь достичь за 6 месяцев. Это поможет тебе выбрать правильную стратегию и не сбиться с курса.",Разобраться в конкретной теме,"Хорошо, ты хочешь разобраться в конкретной теме — отличная цель. Сейчас мы подберём тебе подходящие материалы.",8,"*Глубокий исследователь* Ты хочешь не просто читать, а разобраться в теме. Это зрелый подход, позволяющий не просто потреблять, но и развиваться.",Нет,🔎
1,7,27,"Цель — это движущая сила любого человека. Хоть ты и в мире информации, важно понимать, чего ты хочешь достичь за 6 месяцев. Это поможет тебе выбрать правильную стратегию и не сбиться с курса.",Научиться выбирать лучшее,"Хорошо, ты хочешь научиться выбирать лучшее — отличная мотивация. Сейчас мы подберём тебе подходящие методики.",8,"*Цель — фильтрация* Ты хочешь не просто потреблять, а выбирать лучшее. Это зрелый подход к информации.",Нет,🔍
1,7,28,"Цель — это движущая сила любого человека. Хоть ты и в мире информации, важно понимать, чего ты хочешь достичь за 6 месяцев. Это поможет тебе выбрать правильную стратегию и не сбиться с курса.",Сформировать систему потребления,"Отлично, ты хочешь создать систему. Сейчас мы вместе построим её шаг за шагом.",8,"*Цель — система потребления* Ты хочешь не просто менять отдельные привычки, а строить систему. Это зрелый подход к развитию.",Нет,🏗️
1,8,29,Вот твой итоговый портрет и рекомендации.,Финал,*Универсальный информатор* Ты умеешь адаптироваться. Фокусируйся на одном стиле — так повысишь эффективность и снизишь информационный хаос.,,,Да,🎯
